Nickname,TwitchName,FavoriteDinosaur,FavoritePlanet,Lasagna,FavoriteIceCream,PizzaToppings,HotDog,BTD,Boys,TimePrison,HashGame,Giraffe,PostStream
Jacob,jacobkiller52,Spinosaurus,Pluto (Justice 4 Pluto fr fr),One Lasagna (Infinite Lasagna Theory),Dislike,Just Cheese (No Toppings),Yes,Super Monkey,Jake,What is Time Prison?,N/A,Hash gets beaten to death by giraffe neck,
HobgoblinDuke,HobgoblinDuke,Therizinosaur,Venus,One Lasagna (Infinite Lasagna Theory),Butter Pecan,Pepperoni;Sausage;Bacon;White Onion;Banana Pepper,Taco,Glue Gunner,Eli,Yes,Payday 2,Hash gets beaten to death by giraffe neck,
Kush,kushdid911,Stegosaurus,Uranus,One Lasagna (Infinite Lasagna Theory),ur ice cream :3,,Taco,Super Monkey,Justin,No,Portal 2 with Mac,Hash gets beaten to death by giraffe neck,
Mac,1800macaroni,Stegosaurus,Uranus,Two Lasagnas Stacked,Cookie Dough,Pepperoni,Taco,,Justin,No,Portal 2 with Mac,No but close,
Parker,parkersplace_,Velociraptor,Neptune,One Lasagna (Infinite Lasagna Theory),Chocolate,Pepperoni,No,Wizard Monkey,Justin,No,Phasmophobia,Yes no doubt,
Matty,LegendaryMattyTTV,Diplodoculus,Jupiter,One Lasagna (Infinite Lasagna Theory),Cookies and Cream,Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon,Yes,Ben-jamin,Ben,What is Time Prison?,Apex Legends,Hash gets beaten to death by giraffe neck,
bajrusain5,bajrusain5,Pterodactyl,OGLE-2014-BLG-0124L,One Lasagna (Infinite Lasagna Theory),Soft Serve From KFC,Just Cheese (No Toppings),what is sandwich,Sniper Monkey,Justin,Yes,Roblox on alvin and the taliban 4,Hash gets beaten to death by giraffe neck,
mads0_o,mads0_o,Pterodactyl,Saturn,Two Lasagnas Stacked,Mint Chocolate Chip,Just Cheese (No Toppings);Sausage;Bacon;Black Olive,No,,,What is Time Prison?,Phasmophobia,Yes with Prep Time,
ryanreeves12456,ryanreeves12456,T-Rex,Saturn,Two Lasagnas Stacked,Chocolate Chip,Just Cheese (No Toppings),No,Spike Factory,Jake,What is Time Prison?,Apex Legends,No but close,
justkofiplease,justkofiplease,Brachiosaurus!!,Mercury,Two Lasagnas Stacked,Vanilla/Vanilla Bean,Pepperoni;Mushroom;Pineapple;Other,Yes,,Justin,What is Time Prison?,Phasmophobia,Hash gets beaten to death by giraffe neck,
Rek,R3kateer,That One That Goes Ur-Rawr,Pluto (Justice 4 Pluto fr fr),One Lasagna (Infinite Lasagna Theory),The Kind I'm Eating,Pepperoni;Bacon;White Onion;Other,Yes,,Eli,What is Time Prison?,Deep Rock Galactic,Hash gets beaten to death by giraffe neck,
Sabs,sabs4c,Velociraptor,Jupiter,One Lasagna (Infinite Lasagna Theory),Puppy Chow,Pepperoni;Sausage;Red Onion,Yes,,Drake,What is Time Prison?,Minecraft,Yes no doubt,
Cam,CamCommunist,Longisquama,Pluto (Justice 4 Pluto fr fr),Two Lasagnas Stacked,Bourbon and Cornflake,Just Cheese (No Toppings);Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon;Green Pepper;White Onion;Red Onion;Mushroom;Banana Pepper;Pineapple;Black Olive;Green Olive;Anchovie,Yes,Spike Shooter,Jake,No,Phasmophobia,Hash gets beaten to death by giraffe neck,TRUE
